,Unnamed: 0,RegionName,City,State,Metro,CountyName,RoomType,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2020,2021,2022
34,12,94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,13,4495.0,4450.0,4400.0,4350.0,4350.0,4350.0,4350.0,4450.0,4500.0,4375.0,4200.0,4325.0,4437.5,4475.0,4495.0,4500.0,4400.0,4400.0,4600.0,4750.0,4700.0,4600.0,4400.0,4299.5,4472.5,4395.0,4495.0,4497.5,4650.0,4700.0,4750.0,4750.0,4700.0,4741.640625,5299.869791666667,4414.036458333333
35,76,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2,77,2397.5,2450.0,2500.0,2500.0,2400.0,2497.5,2475.0,2500.0,2450.0,2400.0,2346.5,2500.0,2500.0,2391.0,2400.0,2484.5,2448.0,2469.0,2577.0,2660.0,2595.0,2650.0,2542.5,2500.0,2500.0,2466.5,2474.0,2543.0,2475.0,2494.0,2500.0,2508.0,2550.0,2548.0436546290084,2685.4454046192045,2316.7599947097474
36,85,94110,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,86,3995.0,3950.0,4175.0,4000.0,3995.0,3995.0,4125.0,4100.0,4050.0,4200.0,4000.0,3995.0,4000.0,4200.0,4200.0,4195.0,4000.0,4200.0,4172.5,4100.0,4125.0,4295.0,4150.0,4397.5,4500.0,4500.0,4295.0,4275.0,4095.0,4300.0,4385.0,4500.0,4297.5,4438.817656607144,5107.558581648903,4199.960784993705
37,182,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2,183,2600.0,2551.0,2659.5,2701.0,2704.5,2690.0,2626.5,2646.5,2649.0,2621.5,2630.5,2652.0,2571.5,2557.0,2600.0,2679.5,2702.0,2755.0,2735.0,2771.0,2674.5,2600.0,2700.0,2692.5,2699.5,2750.0,2817.0,2784.0,2769.5,2786.0,2700.0,2700.0,2700.0,2681.6849326367637,2900.1290307299464,2454.0317014014477
38,213,95123,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,214,2695.0,2810.0,2800.0,2802.0,2735.0,2773.5,2845.0,2794.0,2800.0,2742.0,2833.5,2746.0,2700.0,2709.0,2758.5,2721.0,2783.5,2800.0,2812.0,2809.0,2813.5,2817.0,2815.0,2849.0,2850.0,2927.0,2810.0,2890.0,2910.0,2996.0,2950.0,2899.0,2850.0,2868.864652657623,3036.5565597883524,2616.7079719881317
39,255,95051,Santa Clara,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,256,2807.5,2955.0,2974.0,3080.0,2994.0,2995.5,2996.0,2925.0,2850.0,2891.0,2845.0,2795.0,2800.0,2845.0,2920.0,2800.0,2800.0,3060.0,3000.0,3032.0,2995.0,3000.0,2852.5,3000.0,3000.0,2912.0,3005.0,3080.0,3378.5,3112.0,3079.0,3162.0,3095.0,3137.544128145213,3480.630509407077,2925.1478811548054
40,269,94568,Dublin,CA,San Francisco-Oakland-Hayward,Alameda County,2,270,2700.0,2800.0,2781.0,2800.0,2818.0,2850.0,2998.0,2995.0,3007.5,2924.0,2918.0,2918.0,2918.0,2930.5,2988.0,2978.0,2930.0,2950.0,2902.0,2844.0,2817.0,2787.0,2700.0,2730.5,2732.0,2746.5,2782.0,2800.0,2856.0,2894.5,2900.0,2882.5,2805.0,2668.357439659178,1887.4283843176943,2114.627661992589
41,279,94509,Antioch,CA,San Francisco-Oakland-Hayward,Contra Costa County,2,280,1500.0,1500.0,1595.0,1592.0,1595.0,1685.0,1695.0,1650.0,1650.0,1695.0,1695.0,1695.0,1695.0,1695.0,1695.0,1800.0,1800.0,1800.0,1785.0,1750.0,1800.0,1800.0,1750.0,1800.0,1800.0,1930.0,1930.0,1825.0,1800.0,1850.0,1800.0,1850.0,1850.0,1921.09375,2359.6354166666665,1876.3020833333333
42,324,94538,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2,325,2415.0,2373.0,2470.0,2497.0,2510.0,2536.5,2577.0,2557.0,2550.0,2500.0,2550.0,2571.5,2595.0,2547.5,2640.0,2736.0,2696.0,2713.5,2747.0,2739.5,2622.0,2580.0,2538.0,2521.5,2554.0,2600.0,2611.5,2748.0,2867.0,2797.5,2774.5,2756.5,2700.0,2627.348982482878,2819.2879099513902,2386.8981060721176
43,365,94587,Union City,CA,San Francisco-Oakland-Hayward,Alameda County,2,366,2397.5,2325.0,2345.0,2350.0,2332.5,2350.0,2355.5,2345.0,2345.0,2300.0,2315.0,2377.0,2397.5,2350.0,2315.0,2467.0,2478.5,2490.0,2518.0,2622.5,2460.0,2423.0,2408.0,2380.0,2448.0,2484.0,2513.0,2504.0,2508.0,2508.0,2556.0,2607.5,2526.5,2626.825862399088,3389.480331554625,2605.992905523239
