,RegionName,City,State,Metro,CountyName,RoomType,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
9,94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,0,10,2200,2295,2200,2195,2284,2200,2247,2250,2250,2250,2295,2295,2300,2275,2295,2300,2295,2295,2300,2295,2395,2395,2250,2290,2299.5,2305,2390,2350,2395,2447.5,2395,2395,2395
301,94103,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,0,302,2945,2945,3125,2915,2859.5,2819,2829,2804,2934,2909,2567,2785,2782,2739,2689,2854,3092.5,2719,2694,2799,2784.5,2799,2739,2700,2772,2844,2955,3160,3300,3225,3175,2996,3100
307,94107,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,0,308,3339,3297.5,3450,3125,3200,3195,3200,3125,3115,3115,3155,3115,3330,3115,3115,3118.5,3195,3129.5,3218,3311,3326,3237.5,3250,3130.5,3175,3175,3175,3157.5,3290,3287.5,3225,3277.5,3329
414,94123,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,0,415,2600,2497.5,2500,2649,2799,2600,2695,2822.5,2749,2649.5,2600,2650,2785,2795,2624,2684.5,2722,2795,2734.5,2874,2724,2750,2599,2650,2845,2885,2895,2849.5,2895,2849,2895,2925,2874
469,95134,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,0,470,2450,2360,2338,2372,2448,2440,2430,2460,2365,2370,2402,2360,2387.5,2370,2510,2540,2580,2610,2647,2690,2597.5,2622.5,2565,2520,2505,2638,2590,2545,2615,2670,2727.5,2679,2705
11,94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,12,3137.5,3125,3000,2950,2907.5,2995,3000,3047.5,3197.5,3095,2995,2995,2997,3099,3147.5,3295,3195,3095,3140,3295,3241.5,3150,3200,3250,3295,3220,3195,3150,3250,3350,3295,3300,3297.5
81,94110,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,82,3000,3200,2947.5,2975,2925,3000,3195,3100,3295,3400,3300,3295,3200,3222.5,3250,3420,3350,3400,3295,3200,3150,3295,3345,3200,3100,3400,3395,3497.5,3525,3300,3200,3395,3350
156,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,1,157,2163,2199.5,2222.5,2288,2335,2332,2268.5,2257,2212.5,2211.5,2214,2197,2186.5,2097,2207,2349,2380,2378,2316,2300,2293,2222,2308.5,2267.5,2300,2259,2356,2363,2354,2383,2413,2340,2305
178,95123,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1,179,2406.5,2433.5,2400,2450.5,2452.5,2449,2396,2369,2485,2349,2355,2361,2374,2380,2417,2392,2391,2475,2576.5,2500,2422,2515,2515,2535,2565,2614.5,2510,2505,2495,2598.5,2618,2568,2567
215,95051,Santa Clara,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1,216,2812,2730,2473,2650,2700,2842,2775,2624,2550,2731.5,2681,2397.5,2568,2452,2354,2300,2287,2518,2450,2549,2437,2445,2407,2423,2445,2472,2400,2378.5,2358,2348,2520,2585,2445
226,94568,Dublin,CA,San Francisco-Oakland-Hayward,Alameda County,1,227,2319,2379.5,2416,2369,2444.5,2468,2540,2540,2525,2304,2365,2467,2480,2516,2507.5,2492.5,2471,2490,2460,2475,2394.5,2370,2429,2370,2363,2359,2344,2335,2374.5,2450,2425,2395,2335
241,94122,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,242,2800,2800,2775,2600,2650,2572.5,2600,2700,2687.5,2795,2870,2795,2700,2662.5,2750,2685,2695,2797.5,2750,2750,2650,2950,2720.5,2650,2725,2850,2850,2700,2650,2700,2850,2850,2825
263,94538,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,1,264,2087,2066,2060,2115,2189,2198,2231,2197.5,2193.5,2140,2149.5,2150,2202.5,2224.5,2288,2347,2359,2364,2455,2385.5,2354,2299,2275,2290,2295,2379,2439,2456,2467,2483,2465,2422.5,2412
307,95112,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1,308,2100,2188,2072,2214,2284,2337,2303.5,2284,2220,2195,2173,2353,2333,2378,2295,2300,2367.5,2486,2480,2467.5,2345,2392.5,2350,2220,2150,2150,2200,2387.5,2300,2401.5,2756.5,2650,2469
361,94086,Sunnyvale,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1,362,2680,2566.5,2691,2628,2608,2518,2629,2575,2486,2520,2396,2512,2486,2427.5,2260,2236.5,2395,2352.5,2450,2503,2345,2295,2296,2271,2323.5,2395,2340,2395,2571,2495,2475,2450,2585
438,94115,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,439,3200,3295,3275,3300,3289,3250,3272.5,3300,3295,3197.5,3200,3200,3219,3244.5,3240,3265,3288,3296.5,3300,3314.5,3315,3274,3298.5,3200,3307,3397.5,3295,3295,3394,3300,3399,3399,3402.5
504,94117,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,505,2995,2995,2925,3000,3000,3150,3247.5,3000,3195,2995,2925,3125,3095,3000,2997.5,3200,3195,2995,3047.5,3197.5,3150,2975,3100,3295,3285,3347.5,3225,3097.5,3000,3395,3195,3150,3200
518,94102,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,519,3195,3372.5,3350,3200,3520,3565,3625,3823.5,3695,3755,3880,3626.5,3762.5,3790,3650,3650,3691,3841,3535,3457.5,3810,3675,3650,3560,3695,3759.5,3799.5,3850,3850,3830,3867.5,3795,4000
628,94114,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,629,3295,3497.5,3345,3489,3495,3475,3525,3295,3397,3592.5,3495,3575,3495,3487.5,3600,3625,3600,3237.5,3200,3440,3325,3495,3500,3375,3500,3535,3600,3414,3500,3531,3750,3995,3725
632,94103,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,633,3385,3550,3600,3500,3477.5,3570,3499,3395,3350,3324,3300,3322.5,3345,3500,3470,3400,3590.5,3596,3600,3497.5,3600,3717.5,3596,3524,3586,3602,3748,3760,3842.5,3862.5,3860,3820,3800
641,94107,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,642,3400,3511.5,3595,3650,3642.5,3700,3695,3588,3590,3620,3570,3495,3550,3600,3700,3700,3625,3619,3677.5,3680,3683,3698,3685,3672,3700,3760,3836,3854,3812.5,3899,3843.5,3870,3864.5
643,94010,Burlingame,CA,San Francisco-Oakland-Hayward,San Mateo County,1,644,2395,2300,2300,2447.5,2443,2395,2476,2500,2495,2500,2500,2395,2395,2422.5,2500,2450,2550,2575,2650,2784,2640,2662.5,2605,2709.5,2655,2696,2758.5,2668,2691,2793,2800,2793,2615.5
775,94608,Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,1,776,2645,2525,2568,2525,2520,2800,2600,2648.5,2750,2497.5,2624,2648,2649,2602,2585,2535,2500,2500,2659.5,2767.5,2600,2590.5,2600,2675,2697.5,2600,2639.5,2582.5,2595,2695,2734.5,2700,2580
797,94404,Foster City,CA,San Francisco-Oakland-Hayward,San Mateo County,1,798,2791,2853,2891.5,2968,2968,2857,2941,2911,2898.5,2778,2748,2748,2717.5,2833,2925,2871,3057,2998,3108.5,3035,3009,3047,3011,2925,2987,3202,3212.5,3250,3264.5,3289,3220,3140,3112.5
806,95050,Santa Clara,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1,807,2012.5,1950,1897,1899,2025,2000,1999.5,1945,2025,1997,1995,2195,2175,2296,2201,2225,2437,2304,2308,2286.5,2450,2441,2380,2225,2222,2401.5,2150,2465,2321,2350,2341.5,2372.5,2480
840,94123,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,841,3262.5,3295,3200,3200,3375,3324,3450,3300,3295,3295,3200,3374.5,3300,3262,3274,3400,3500,3500,3750,3550,3549.5,3500,3475,3424,3550,3550,3500,3595,3495,3500,3495,3450,3500
938,95128,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1,939,1879,1950,1950,1950,2006,2120.5,2125,2158,2158.5,2173,2030,1995,2038.5,2035,2179,2142,2037,2198,2221,2221,2234,2166,2129.5,2077,2122,2230,2210,2156.5,2199,2215,2274,2210,2184
943,95134,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1,944,2600,2535,2577,2585,2620,2685,2671,2650,2645,2575,2576,2569,2610,2622,2675,2713,2775,2815,2845,2840,2768,2751,2685,2680,2740,2745,2795,2777,2776,2830,2855,2825,2800
945,94401,San Mateo,CA,San Francisco-Oakland-Hayward,San Mateo County,1,946,2375,2395,2490,2399,2400,2400,2498,2498,2462.5,2445,2472.5,2450,2495,2500,2437.5,2485,2499,2629.5,2600,2696,2565,2600,2600,2600,2593.5,2607.5,2700,2721,2757,2800,2664,2615,2685
1010,94133,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,1011,3347.5,3487.5,3447.5,3250,3199,3197,3197.5,3000,3239.5,3184,3237,3225,3050,3222.5,3225,3147.5,3062.5,3399.5,3354.5,3419,3374.5,3409,3199,3214.5,3325,3150,3149,3331.5,3295,3000,3200,3450,3300
1132,94063,Redwood City,CA,San Francisco-Oakland-Hayward,San Mateo County,1,1132,3224.5,3380,3455,3481,3497.5,3477.5,3382.5,3384,3445,3240,3152,3193,3364.5,3430,3359.5,3511,3524.5,3843,3781.5,3495,3390,3410,3363,3375,3605,3650,3707.5,3825,3814,3843,3817.5,3650,3660
1403,94085,Sunnyvale,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1,1404,2674,2379,2354,2673,2752.5,2805,2765,2785,2725,2700,2575,2706,2506,2522.5,2606.5,2934,2650,3010,3055,3112,2727.5,2693.5,2855,2802.5,2695,2695,3040,2852,2812.5,2695,3035,2920,3035
1459,94105,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,1,1460,3695,3949,3955,3925,3997.5,3995,3995,3950,3897.5,3950,3850,3820,3850,3900,3957.5,4000,4065,4000,4110,4163.5,4049.5,4050,4255,4107,4265,4245,4296.5,4275.5,4200,4200,4290,4167,4130.5
1515,95110,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1,1516,2941,2913,2724,2736,2722.5,2702,2679.5,2602,2595.5,2495,2757,2650,2761.5,2639,2564,2818,2634.5,2710.5,2744,2759,2697.5,2590,2580,2510,2510,2606,2655,2772,2701,2700,2850,2805,2750
12,94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,13,4495,4450,4400,4350,4350,4350,4350,4450,4500,4375,4200,4325,4437.5,4475,4495,4500,4400,4400,4600,4750,4700,4600,4400,4299.5,4472.5,4395,4495,4497.5,4650,4700,4750,4750,4700
76,94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,2,77,2397.5,2450,2500,2500,2400,2497.5,2475,2500,2450,2400,2346.5,2500,2500,2391,2400,2484.5,2448,2469,2577,2660,2595,2650,2542.5,2500,2500,2466.5,2474,2543,2475,2494,2500,2508,2550
85,94110,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,86,3995,3950,4175,4000,3995,3995,4125,4100,4050,4200,4000,3995,4000,4200,4200,4195,4000,4200,4172.5,4100,4125,4295,4150,4397.5,4500,4500,4295,4275,4095,4300,4385,4500,4297.5
182,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2,183,2600,2551,2659.5,2701,2704.5,2690,2626.5,2646.5,2649,2621.5,2630.5,2652,2571.5,2557,2600,2679.5,2702,2755,2735,2771,2674.5,2600,2700,2692.5,2699.5,2750,2817,2784,2769.5,2786,2700,2700,2700
213,95123,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,214,2695,2810,2800,2802,2735,2773.5,2845,2794,2800,2742,2833.5,2746,2700,2709,2758.5,2721,2783.5,2800,2812,2809,2813.5,2817,2815,2849,2850,2927,2810,2890,2910,2996,2950,2899,2850
255,95051,Santa Clara,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,256,2807.5,2955,2974,3080,2994,2995.5,2996,2925,2850,2891,2845,2795,2800,2845,2920,2800,2800,3060,3000,3032,2995,3000,2852.5,3000,3000,2912,3005,3080,3378.5,3112,3079,3162,3095
269,94568,Dublin,CA,San Francisco-Oakland-Hayward,Alameda County,2,270,2700,2800,2781,2800,2818,2850,2998,2995,3007.5,2924,2918,2918,2918,2930.5,2988,2978,2930,2950,2902,2844,2817,2787,2700,2730.5,2732,2746.5,2782,2800,2856,2894.5,2900,2882.5,2805
279,94509,Antioch,CA,San Francisco-Oakland-Hayward,Contra Costa County,2,280,1500,1500,1595,1592,1595,1685,1695,1650,1650,1695,1695,1695,1695,1695,1695,1800,1800,1800,1785,1750,1800,1800,1750,1800,1800,1930,1930,1825,1800,1850,1800,1850,1850
324,94538,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,2,325,2415,2373,2470,2497,2510,2536.5,2577,2557,2550,2500,2550,2571.5,2595,2547.5,2640,2736,2696,2713.5,2747,2739.5,2622,2580,2538,2521.5,2554,2600,2611.5,2748,2867,2797.5,2774.5,2756.5,2700
365,94587,Union City,CA,San Francisco-Oakland-Hayward,Alameda County,2,366,2397.5,2325,2345,2350,2332.5,2350,2355.5,2345,2345,2300,2315,2377,2397.5,2350,2315,2467,2478.5,2490,2518,2622.5,2460,2423,2408,2380,2448,2484,2513,2504,2508,2508,2556,2607.5,2526.5
382,95014,Cupertino,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,383,3195,3200,3265,3174.5,3395,3400,3400,3359,3362.5,3266.5,3200,3200,3295,3309,3150,3271.5,3550,3472,3493,3344.5,3332,3251,3270.5,3358,3370.5,3465.5,3495,3495,3500,3495,3458,3550,3500
389,95112,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,390,2972,2816.5,2900,2900,2909,2923.5,2854,2807.5,2767,2859,2863.5,2915,2854,2913.5,2980,3085,3152.5,3015,3060,3027.5,2950,3000,3002.5,3022.5,2865,2850,2825,2895,3020,3025,3110,3185,2885
426,94087,Sunnyvale,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,427,2712,2808,2850,2900,3000,3041,3095,3000,2995,2900,2900,2849,2939,2795,2962,2908.5,2995,3180,3225,3204,3219,3109,2998.5,2995,3200,3193.5,3161,3195,3200,3338.5,3200,3176,3100
428,95125,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,429,2552,2504,2600,2597.5,2600,2595,2662,2645,2650,2605,2595,2645,2597.5,2531,2685,2610,2597.5,2649,2625.5,2890,3325,3200,3010,2850,2800,2745,2695,2695,2850,2850,2860,2695,2895
